Area Code,Area Name,Total recorded crime (excluding fraud),Violence against the person,Homicide,Violence with injury,Violence without injury,Stalking and harassment4,Death or serious injury - unlawful driving4,Sexual offences,Robbery,Theft offences,Burglary,"Residential burglary5,6","Non-residential  burglary5,6",Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,Other theft offences,Criminal damage and arson,Drug offences,Possession of weapons offences,Public order offences,Miscellaneous crimes
K04000001,ENGLAND AND WALES7,"5,073,131","1,545,544",739,"533,248","638,894","371,953",710,"158,162","80,947","1,998,876","427,435","301,276","126,159","457,433","98,899","96,510","378,656","539,943","581,093","140,399","42,195","427,134","98,781"
E92000001,ENGLAND,"4,765,006","1,450,030",711,"502,428","598,720","347,486",685,"147,585","79,221","1,893,480","410,587","290,026","120,561","441,729","90,990","87,109","355,563","507,502","540,304","130,021","40,149","391,523","92,693"
E12000001,North East,"284,764","88,979",27,"24,880","35,202","28,829",41,"8,678","1,624","97,098","19,638","13,711","5,927","15,906","2,243","3,553","27,300","28,458","42,181","5,809","1,834","31,770","6,791"
E23000013,Cleveland,"61,982","17,589",12,"5,742","7,021","4,806",8,"1,738",538,"26,730","5,895","4,283","1,612","4,386",495,"1,002","8,666","6,286","9,349","1,268",344,"3,280","1,146"
E23000008,Durham,"62,878","23,496",5,"5,855","8,244","9,386",6,"1,993",264,"18,709","4,380","3,078","1,302","3,419",284,516,"4,643","5,467","9,721","1,274",278,"5,292","1,851"
E23000007,Northumbria,"159,904","47,894",10,"13,283","19,937","14,637",27,"4,947",822,"51,659","9,363","6,350","3,013","8,101","1,464","2,035","13,991","16,705","23,111","3,267","1,212","23,198","3,794"
E12000002,North West,"749,172","237,196",150,"77,028","100,099","59,844",75,"22,537","10,485","255,340","62,335","44,781","17,554","56,437","11,698","9,322","45,812","69,736","90,548","17,998","5,722","92,906","16,440"
E23000006,Cheshire,"92,567","30,653",18,"10,425","12,005","8,201",4,"3,050",425,"25,706","4,769","3,476","1,293","3,638",658,"1,488","7,307","7,846","10,350","2,205",499,"17,763","1,916"
E23000002,Cumbria,"33,175","11,829",5,"4,641","4,984","2,189",10,"1,560",115,"9,769","2,094","1,215",879,"1,179",188,289,"2,874","3,145","5,357",993,256,"2,626",670
E23000005,Greater Manchester,"338,127","97,138",82,"28,664","46,318","22,043",31,"9,649","7,497","121,820","30,186","22,001","8,185","31,168","7,083","4,048","17,363","31,972","37,616","5,050","3,359","47,764","8,234"
