Postcode,Detached,Sales,Semi-det,Sales2,Terraced,Sales3,Flat/mais,Sales4,Overall_average,Total_sales
AL1 1,0,0,0,0,440000,1,0,0,440000,1
AL1 2,0,0,0,0,0,0,335000,2,335000,2
AL1 3,0,0,550000,1,1060000,1,290000,1,633333,3
AL1 4,1412500,2,0,0,647500,2,0,0,1030000,4
AL1 5,0,0,0,0,513667,3,248500,2,407600,5
AL10 8,0,0,335000,1,315000,1,170000,1,273333,3
AL10 9,0,0,497500,2,337500,1,0,0,444167,3
AL2 1,0,0,0,0,525000,1,287000,1,406000,2
AL2 2,660000,1,0,0,0,0,0,0,660000,1
AL2 3,590000,1,625000,1,0,0,0,0,607500,2
AL3 5,0,0,0,0,0,0,427000,1,427000,1
AL3 6,0,0,500000,1,0,0,0,0,500000,1
AL3 7,0,0,720000,1,307500,1,0,0,513750,2
AL3 8,0,0,290000,1,300000,1,0,0,295000,2
AL4 0,850000,1,615000,1,0,0,360000,1,608333,3
AL4 8,565000,1,745600,1,435000,2,0,0,545150,4
AL4 9,555000,1,577500,2,0,0,0,0,570000,3
AL5 1,986167,3,0,0,0,0,220000,1,794625,4
AL5 2,1485625,4,720000,1,0,0,0,0,1332500,5
AL5 3,600000,1,0,0,0,0,0,0,600000,1
AL5 4,0,0,815125,2,0,0,0,0,815125,2
AL5 5,765000,1,582500,2,734746,2,0,0,679898,5
AL6 0,916000,3,0,0,0,0,0,0,916000,3
AL7 1,0,0,0,0,360000,2,200000,1,306667,3
AL7 2,0,0,0,0,0,0,214995,1,214995,1
AL7 3,0,0,0,0,337500,2,0,0,337500,2
AL7 4,0,0,382500,2,360000,1,0,0,375000,3
AL8 6,0,0,455000,1,0,0,0,0,455000,1
AL8 7,480500,2,551500,2,315000,1,335000,1,452333,6
AL9 5,600000,1,0,0,0,0,305000,1,452500,2
AL9 6,0,0,0,0,370000,1,0,0,370000,1
AL9 7,0,0,900000,1,0,0,0,0,900000,1
B1 2,0,0,0,0,0,0,85000,1,85000,1
B1 3,0,0,0,0,0,0,250000,2,250000,2
B10 9,0,0,0,0,194000,2,0,0,194000,2
B11 1,0,0,0,0,125000,1,0,0,125000,1
B11 2,0,0,0,0,120000,1,0,0,120000,1
B11 3,0,0,131000,1,136000,2,0,0,134333,3
B12 0,0,0,0,0,0,0,167000,1,167000,1
B12 8,0,0,0,0,116000,2,0,0,116000,2
B12 9,0,0,0,0,267000,2,0,0,267000,2
B13 0,0,0,0,0,168500,1,0,0,168500,1
B13 8,730000,1,120000,1,265000,1,0,0,371667,3
B13 9,660000,1,515000,2,225000,2,168167,3,330562,8
B14 4,0,0,244000,2,252000,1,121994,1,215498,4
B14 5,0,0,202000,1,180000,1,0,0,191000,2
B14 6,322500,1,263250,2,185000,1,128000,1,232400,5
B14 7,0,0,0,0,238983,3,107250,1,206050,4
B15 3,780000,1,0,0,0,0,135000,1,457500,2
B16 0,290000,1,240000,1,0,0,0,0,265000,2
B16 8,0,0,0,0,0,0,137667,3,137667,3
B17 0,0,0,203500,1,258333,3,130000,1,221700,5
